schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,admin_activity_logs,Admin read activity logs,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,admin_sessions,Admin read own sessions,PERMISSIVE,{public},SELECT,(admin_id = auth.uid()),null
public,admin_user_memos,Admin manage user memos,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,admin_user_memos,admin_user_memos_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,admins,Super admin manage via service role,PERMISSIVE,{public},ALL,false,false
public,admins,admins_select_own_final,PERMISSIVE,{public},SELECT,(auth.uid() = admin_id),null
public,billing_payments,Users can insert own payments,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,billing_payments,Users can view own payments,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,billing_payments,Users cannot update payments,PERMISSIVE,{public},UPDATE,false,null
public,billing_payments,billing_payments_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,billing_payments,billing_payments_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,doctors,tenant_rls_doctors,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,drugs,tenant_rls_drugs,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,faqs,Anyone can read active FAQs,PERMISSIVE,{public},SELECT,(is_active = true),null
public,faqs,Users cannot delete FAQs,PERMISSIVE,{public},DELETE,false,null
public,faqs,Users cannot insert FAQs,PERMISSIVE,{public},INSERT,null,false
public,faqs,Users cannot update FAQs,PERMISSIVE,{public},UPDATE,false,null
public,faqs,faqs_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,patient_drugs,tenant_rls_patient_drugs,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,patients,tenant_rls_patients,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,payment_methods,Users can delete own payment methods,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,payment_methods,Users can insert own payment methods,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,payment_methods,Users can update own payment methods,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(auth.uid() = user_id)
public,payment_methods,Users can view own payment methods,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,payment_methods,payment_methods_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,payment_methods,payment_methods_delete_own,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,payment_methods,payment_methods_insert_own,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,payment_methods,payment_methods_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,payment_methods,payment_methods_update_own,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,pending_user_promotions,Users can view own pending promotions,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,pending_user_promotions,Users cannot modify pending promotions,PERMISSIVE,{public},ALL,false,false
public,pending_user_promotions,pending_user_promotions_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,promotion_usage_history,Admin manage promotion usage history,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM admins a
  WHERE ((a.admin_id = auth.uid()) AND (a.is_active = true))))",null
public,promotion_usage_history,promotion_usage_history_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,referral_codes,referral_codes_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,remote_support_sessions,remote_support_sessions_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,remote_support_sessions,remote_support_sessions_user_insert,PERMISSIVE,{public},INSERT,null,((auth.uid() = user_id) AND (status = 'requested'::text))
public,remote_support_sessions,remote_support_sessions_user_no_delete,PERMISSIVE,{public},DELETE,false,null
public,remote_support_sessions,remote_support_sessions_user_no_update,PERMISSIVE,{public},UPDATE,false,null
public,remote_support_sessions,remote_support_sessions_user_select,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,rxheads,tenant_rls_rxheads,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,rxrecipe_details,tenant_rls_rxrecipe_details,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,rxrecipes,tenant_rls_rxrecipes,PERMISSIVE,{public},ALL,(tenant_id = auth.uid()),null
public,subscription_plans,Anyone can view subscription plans,PERMISSIVE,{public},SELECT,(is_active = true),null
public,subscription_plans,Users cannot delete subscription plans,PERMISSIVE,{public},DELETE,false,null
public,subscription_plans,Users cannot insert subscription plans,PERMISSIVE,{public},INSERT,null,false
public,subscription_plans,Users cannot update subscription plans,PERMISSIVE,{public},UPDATE,false,null
public,subscription_plans,subscription_plans_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,subscription_promotions,Users can view active promotions,PERMISSIVE,{public},SELECT,(is_active = true),null
public,subscription_promotions,Users cannot modify promotions,PERMISSIVE,{public},ALL,false,false
public,subscription_promotions,subscription_promotions_admin_manage,PERMISSIVE,{public},ALL,is_admin(),null
public,support_attachments,Admin can delete attachments,PERMISSIVE,{public},DELETE,"(EXISTS ( SELECT 1
   FROM admins a
  WHERE ((a.admin_id = auth.uid()) AND (a.is_active = true))))",null
public,support_attachments,Admin can read all attachments,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM admins a
  WHERE ((a.admin_id = auth.uid()) AND (a.is_active = true))))",null
public,support_attachments,Admin can upload reply attachments,PERMISSIVE,{public},INSERT,null,"((reply_id IS NOT NULL) AND (uploaded_by = 'admin'::text) AND (EXISTS ( SELECT 1
   FROM admins a
  WHERE ((a.admin_id = auth.uid()) AND (a.is_active = true)))))"
public,support_attachments,Admin manage attachments,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,support_attachments,User can upload attachment,PERMISSIVE,{public},INSERT,null,"(ticket_id IN ( SELECT support_tickets.ticket_id
   FROM support_tickets
  WHERE (support_tickets.user_id = auth.uid())))"
public,support_attachments,User can upload ticket attachments,PERMISSIVE,{public},INSERT,null,"((reply_id IS NULL) AND (uploaded_by = 'user'::text) AND (ticket_id IN ( SELECT t.ticket_id
   FROM support_tickets t
  WHERE (t.user_id = auth.uid()))) AND (EXISTS ( SELECT 1
   FROM users u
  WHERE ((u.user_id = auth.uid()) AND (u.is_deleted = false)))))"
public,support_attachments,User cannot update attachments,PERMISSIVE,{public},UPDATE,false,null
public,support_attachments,User upload attachment,PERMISSIVE,{public},INSERT,null,"(ticket_id IN ( SELECT support_tickets.ticket_id
   FROM support_tickets
  WHERE (support_tickets.user_id = auth.uid())))"
public,support_attachments,support_attachments_user_select_own,PERMISSIVE,{public},SELECT,"(ticket_id IN ( SELECT support_tickets.ticket_id
   FROM support_tickets
  WHERE (support_tickets.user_id = auth.uid())))",null
public,support_replies,Admin create reply,PERMISSIVE,{public},INSERT,null,"(EXISTS ( SELECT 1
   FROM admins a
  WHERE ((a.admin_id = auth.uid()) AND (a.is_active = true))))"
public,support_replies,Admin manage replies,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,support_replies,User can read public replies to own tickets,PERMISSIVE,{public},SELECT,"((is_public = true) AND (ticket_id IN ( SELECT support_tickets.ticket_id
   FROM support_tickets
  WHERE (support_tickets.user_id = auth.uid()))))",null
public,support_tickets,Admin full access,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,support_tickets,Admin read all tickets,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,support_tickets,Admin update ticket,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM admins
  WHERE ((admins.admin_id = auth.uid()) AND (admins.is_active = true))))",null
public,support_tickets,User can create ticket,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,support_tickets,User can insert own tickets,PERMISSIVE,{public},INSERT,null,((user_id = auth.uid()) AND is_active_user())
public,support_tickets,User cannot update ticket,PERMISSIVE,{public},UPDATE,false,null
public,support_tickets,User create ticket,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,support_tickets,support_tickets_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,support_tickets,support_tickets_user_insert,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,support_tickets,support_tickets_user_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,usage_billing_period_stats,Users can view own usage stats,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM user_subscriptions us
  WHERE ((us.subscription_id = usage_billing_period_stats.subscription_id) AND (us.user_id = auth.uid()))))",null
public,usage_billing_period_stats,Users cannot modify usage stats,PERMISSIVE,{public},ALL,false,false
public,usage_billing_period_stats,usage_billing_period_stats_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,usage_billing_period_stats,usage_billing_period_stats_select_own,PERMISSIVE,{public},SELECT,"(auth.uid() IN ( SELECT user_subscriptions.user_id
   FROM user_subscriptions
  WHERE (user_subscriptions.subscription_id = usage_billing_period_stats.subscription_id)))",null
public,usage_daily_stats,Users can view own daily stats,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,usage_daily_stats,Users cannot modify daily stats,PERMISSIVE,{public},ALL,false,false
public,usage_daily_stats,usage_daily_stats_admin_full_access,PERMISSIVE,{public},ALL,is_admin(),null
public,usage_daily_stats,usage_daily_stats_select_own,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
